Script started on 2024-07-16 10:42:05-04:00 [TERM="xterm-256color" TTY="/dev/pts/7" COLUMNS="96" LINES="44"]
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.4 167940  9316 ?        Ss   01:42   0:11 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    01:42   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   01:42   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   01:42   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   01:42   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   01:42   0:00 [netns]
root          11  0.0  0.0      0     0 ?        I<   01:42   0:00 [mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        I    01:42   0:00 [rcu_tasks_kthread]
root          13  0.0  0.0      0     0 ?        I    01:42   0:00 [rcu_tasks_rude_kthread]
root          14  0.0  0.0      0     0 ?        I    01:42   0:00 [rcu_tasks_trace_kthread]
root          15  0.0  0.0      0     0 ?        S    01:42   0:02 [ksoftirqd/0]
root          16  0.1  0.0      0     0 ?        I    01:42   0:42 [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    01:42   0:01 [migration/0]
root          18  0.0  0.0      0     0 ?        S    01:42   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    01:42   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    01:42   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    01:42   0:00 [idle_inject/1]
root          22  0.0  0.0      0     0 ?        S    01:42   0:01 [migration/1]
root          23  0.0  0.0      0     0 ?        S    01:42   0:16 [ksoftirqd/1]
root          26  0.0  0.0      0     0 ?        S    01:42   0:00 [kdevtmpfs]
root          27  0.0  0.0      0     0 ?        I<   01:42   0:00 [inet_frag_wq]
root          29  0.0  0.0      0     0 ?        S    01:42   0:00 [kauditd]
root          31  0.0  0.0      0     0 ?        S    01:42   0:00 [khungtaskd]
root          33  0.0  0.0      0     0 ?        S    01:42   0:00 [oom_reaper]
root          34  0.0  0.0      0     0 ?        I<   01:42   0:00 [writeback]
root          35  0.0  0.0      0     0 ?        S    01:42   0:09 [kcompactd0]
root          36  0.0  0.0      0     0 ?        SN   01:42   0:00 [ksmd]
root          37  0.0  0.0      0     0 ?        SN   01:42   0:00 [khugepaged]
root          38  0.0  0.0      0     0 ?        I<   01:42   0:00 [kintegrityd]
root          39  0.0  0.0      0     0 ?        I<   01:42   0:00 [kblockd]
root          40  0.0  0.0      0     0 ?        I<   01:42   0:00 [blkcg_punt_bio]
root          42  0.0  0.0      0     0 ?        I<   01:42   0:00 [tpm_dev_wq]
root          43  0.0  0.0      0     0 ?        I<   01:42   0:00 [ata_sff]
root          44  0.0  0.0      0     0 ?        I<   01:42   0:00 [md]
root          45  0.0  0.0      0     0 ?        I<   01:42   0:00 [md_bitmap]
root          46  0.0  0.0      0     0 ?        I<   01:42   0:00 [edac-poller]
root          47  0.0  0.0      0     0 ?        I<   01:42   0:00 [devfreq_wq]
root          48  0.0  0.0      0     0 ?        S    01:42   0:00 [watchdogd]
root          50  0.0  0.0      0     0 ?        S    01:42   0:11 [kswapd0]
root          51  0.0  0.0      0     0 ?        S    01:42   0:00 [ecryptfs-kthread]
root          52  0.0  0.0      0     0 ?        I<   01:42   0:00 [kthrotld]
root          53  0.0  0.0      0     0 ?        S    01:42   0:00 [irq/24-pciehp]
root          54  0.0  0.0      0     0 ?        S    01:42   0:00 [irq/25-pciehp]
